team_name,rating
Arsenal FC,1625
Norwich City,1398
Chelsea FC,1742
Oldham Athletic,1200
Coventry City,1200
Middlesbrough FC,1200
Crystal Palace,1525
Blackburn Rovers,1200
Everton FC,1455
Sheffield Wednesday,1200
Ipswich Town,1200
Aston Villa,1541
Leeds United,1525
Wimbledon FC,1200
Sheffield United,1200
Manchester United,1645
Southampton FC,1435
Tottenham Hotspur,1600
Nottingham Forest,1200
Liverpool FC,1821
Manchester City,1832
Queens Park Rangers,1200
Swindon Town,1200
Newcastle United,1406
West Ham United,1663
Leicester City,1566
Bolton Wanderers,1200
Derby County,1200
Sunderland AFC,1200
Barnsley FC,1200
Charlton Athletic,1200
Bradford City,1200
Watford FC,1446
Fulham FC,1200
West Bromwich Albion,1200
Birmingham City,1200
Portsmouth FC,1200
Wolverhampton Wanderers,1496
Wigan Athletic,1200
Reading FC,1200
Stoke City,1200
Hull City,1200
Burnley FC,1447
Blackpool FC,1200
Swansea City,1200
Cardiff City,1200
AFC Bournemouth,1200
Huddersfield Town,1200
Brighton & Hove Albion,1510
Brentford FC,1487
